"","Var1","Var2","theta[feasible_index]","KLD.results$KLD$Men_KLD","KLD.results$KLD$Women_KLD","KLD.results$KLD$Pop_KLD","KLD.results$pop_variance"
"435",0.1,0.68,0.277777777777778,0.000868997170294263,-5.10380557416682e-05,0.000817959114552595,0.967309816386224
"436",0.11,0.68,0.305555555555555,0.000541990489598992,0.00215123714861856,0.00269322763821755,0.956310785138713
"437",0.12,0.68,0.333333333333333,0.000822463640385033,0.0182777212097248,0.0191001848501098,1.03901406683794
"438",0.13,0.68,0.361111111111111,0.00641888564429251,0.0107692013712479,0.0171880870155404,1.04198232505728
"439",0.14,0.68,0.388888888888889,0.0115998391785751,0.000891228892815695,0.0124910680713908,0.998495551117308
"440",0.15,0.68,0.416666666666667,0.00133524714133585,0.00205143340204752,0.00338668054338337,0.978737622821571
"441",0.16,0.68,0.444444444444444,0.0306662015094703,0.0249230057379979,0.0555892072474683,1.10281996385699
"442",0.17,0.68,0.472222222222222,0.0162765814117164,0.00207838956116419,0.0183549709728806,0.990083779348478
"443",0.18,0.68,0.5,0.0230337965051653,0.0176727097692087,0.040706506274374,1.05210604029756
"444",0.19,0.68,0.527777777777778,0.00641326938485733,0.0166853297766506,0.0230985991615079,0.98595396163869
"445",0.2,0.68,0.555555555555555,0.0135880905959543,0.0122375421499964,0.0258256327459507,0.973911128666819
"446",0.21,0.68,0.583333333333333,0.00866325012622208,0.0330616903356037,0.0417249404618257,0.991909485319126
"447",0.22,0.68,0.611111111111111,0.0126260391308686,0.0544288882411896,0.0670549273720583,1.00593649574262
"448",0.23,0.68,0.638888888888889,0.0403845120586748,0.0235902586100649,0.0639747706687397,1.01254119113596
"449",0.24,0.68,0.666666666666667,0.0320921661889708,0.042676746340525,0.0747689125294958,0.949230968581293
"450",0.25,0.68,0.694444444444444,0.072207123307774,0.0522216134196263,0.1244287367274,1.02499881572527
"451",0.01,0.69,0.0263157894736842,0.000554523389956227,0.00115339839021464,0.00170792178017086,0.954867453058447
"452",0.02,0.69,0.0526315789473684,0.00521469072277707,0.0044600010977832,0.00967469182056026,1.05639905567139
"453",0.03,0.69,0.0789473684210527,-0.00019577063147894,0.00662369144757702,0.00642792081609808,1.02781269881148
"454",0.04,0.69,0.105263157894737,0.0218632907638264,0.00140148500846249,0.0232647757722889,1.03510189418778
"455",0.05,0.69,0.131578947368421,0.0180630979553687,0.00320511599451345,0.0212682139498822,1.07872705525985
"456",0.06,0.69,0.157894736842105,0.00416383456301078,-0.000270695047063631,0.00389313951594715,0.931739919569816
"457",0.07,0.69,0.18421052631579,0.00190172472336158,0.0100981334513706,0.0119998581747322,0.900079203329587
"458",0.08,0.69,0.210526315789474,0.000509119565987658,0.00442182922490848,0.00493094879089614,0.952070435737432
"459",0.09,0.69,0.236842105263158,0.00750190505962807,0.0086056342532151,0.0161075393128432,0.869599791237707
"460",0.1,0.69,0.263157894736842,8.76419290118524e-05,0.000283584781414763,0.000371226710426615,0.967524245274315
